Feature ID,Feature Name,Feature Type,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature
ENSG00000143546,S100A8,Gene Expression,0.5197593958797421,0.0,0.0,43475,2.2644559688249206,682
ENSG00000186395,KRT10,Gene Expression,0.4816439681450565,0.0,0.0,56603,3.4524855390350746,794
ENSG00000167768,KRT1,Gene Expression,0.48051362905594586,0.0,0.0,32034,1.9910554911273277,672
ENSG00000163220,S100A9,Gene Expression,0.4622500417299154,0.0,0.0,44408,2.1848178026107474,683
ENSG00000186081,KRT5,Gene Expression,0.38720499583997975,0.0,0.0,26963,1.5562895529922276,667
ENSG00000161634,DCD,Gene Expression,0.3531910170482888,0.0,0.0,1096,0.3724102305616088,181
ENSG00000211893,IGHG2,Gene Expression,0.3480274241014688,0.0,0.0,899,0.4551484088815475,251
ENSG00000143556,S100A7,Gene Expression,0.3392708019019836,0.0,0.0,13510,0.7445832495030116,469
ENSG00000211592,IGKC,Gene Expression,0.33362205422089297,0.0,0.0,1081,0.46593578738811725,271
ENSG00000172867,KRT2,Gene Expression,0.32802747018091055,0.0,0.0,20228,1.1073345013036047,555
ENSG00000159450,TCHH,Gene Expression,0.296306730267095,0.0,0.0,2192,0.40184092626156614,239
ENSG00000186847,KRT14,Gene Expression,0.28912821907954733,0.0,0.0,19784,1.414349695839869,667
ENSG00000094796,KRT31,Gene Expression,0.23182221809351625,0.0,0.0,259,0.09904877165441102,125
ENSG00000203783,PRR9,Gene Expression,0.21674679796167526,0.0,0.0,564,0.13572155467167613,130
ENSG00000100453,GZMB,Gene Expression,0.21449646718117074,0.0,0.0,13,0.00017737589277240292,8
ENSG00000164692,COL1A2,Gene Expression,0.19609825672326778,0.0,0.0,2135,0.9215470150307978,613
ENSG00000064651,SLC12A2,Gene Expression,0.19523499487595633,0.0,0.0,300,0.07014181672207044,107
ENSG00000188508,KRTDAP,Gene Expression,0.1923095357947472,0.0,0.0,7508,0.4574441630533294,412
ENSG00000183484,GPR132,Gene Expression,0.19124095533802699,0.0,0.0,16,0.00032388786593863696,13
ENSG00000167165,UGT1A6,Gene Expression,0.18853607927870278,0.0,0.0,50,0.0007065501900152516,37
ENSG00000186832,KRT16,Gene Expression,0.18826790673919055,0.0,0.0,4848,0.2973662508865462,332
ENSG00000211897,IGHG3,Gene Expression,0.18059557555889966,0.0,0.0,277,0.061483747256875027,44
ENSG00000159516,SPRR2G,Gene Expression,0.17977176428564257,0.0,0.0,4449,0.260141538943833,315
ENSG00000164687,FABP5,Gene Expression,0.17273640020760261,0.0,0.0,5562,0.32845316130144264,382
ENSG00000153802,TMPRSS11D,Gene Expression,0.17024017512105402,0.0,0.0,24,0.00026790535335487957,11
ENSG00000169174,PCSK9,Gene Expression,0.1694599197809032,0.0,0.0,28,0.0003859577032067802,22
ENSG00000110484,SCGB2A2,Gene Expression,0.16772370557296445,0.0,0.0,221,0.06288195100267739,71
ENSG00000204897,KRT25,Gene Expression,0.1602361924787206,0.0,0.0,933,0.1935550700038915,158
ENSG00000211675,IGLC1,Gene Expression,0.15640511459874074,0.0,0.0,429,0.13308874491387931,103
ENSG00000078081,LAMP3,Gene Expression,0.15548232312173335,0.0,0.0,36,0.0006466253161869478,27
ENSG00000099194,SCD,Gene Expression,0.15516287617165572,0.0,0.0,448,0.14486351060196198,200
ENSG00000139648,KRT71,Gene Expression,0.15055858227473337,0.0,0.0,745,0.1139787816060732,109
ENSG00000140832,MARVELD3,Gene Expression,0.15051794134084492,0.0,0.0,11,0.0005376515955128885,10
ENSG00000132465,JCHAIN,Gene Expression,0.14927648661295023,0.0,0.0,263,0.097645023504208,123
ENSG00000185614,INKA1,Gene Expression,0.1456159373363361,0.0,0.0,59,0.0008225495948698173,41
ENSG00000137699,TRIM29,Gene Expression,0.14557483582362438,0.0,0.0,3395,0.2283286465795952,332
ENSG00000161249,DMKN,Gene Expression,0.1454641577273154,0.0,0.0,2234,0.13530151239896618,267
ENSG00000134760,DSG1,Gene Expression,0.13883685708234042,0.0,0.0,3840,0.21446385975221086,321
ENSG00000116903,EXOC8,Gene Expression,0.1375995921138843,0.0,0.0,13,0.00015737199839611213,13
ENSG00000157551,KCNJ15,Gene Expression,0.1368820948139206,0.0,0.0,18,0.00020345368470359832,17
ENSG00000142655,PEX14,Gene Expression,0.13680948952795555,0.0,0.0,45,0.0008538974502956327,36
ENSG00000171446,KRT27,Gene Expression,0.13504643370105648,0.0,0.0,671,0.12335706036683929,119
ENSG00000241794,SPRR2A,Gene Expression,0.13354555327327505,0.0,0.0,4331,0.23936622344276745,293
ENSG00000108821,COL1A1,Gene Expression,0.1331803441325443,0.0,0.0,2264,0.9458412353845096,606
ENSG00000186207,LCE5A,Gene Expression,0.13059517572379187,0.0,0.0,24,0.0004641952136548168,13
ENSG00000198780,FAM169A,Gene Expression,0.1263531890130582,0.0,0.0,6,9.052132962877292e-05,6
ENSG00000075673,ATP12A,Gene Expression,0.12500895756278077,0.0,0.0,85,0.0013896343935510332,27
ENSG00000124664,SPDEF,Gene Expression,0.12478118878886324,0.0,0.0,7,0.000382135913823075,6
ENSG00000196437,ZNF569,Gene Expression,0.12352497206283655,0.0,0.0,4,3.022085417214465e-05,4
ENSG00000174502,SLC26A9,Gene Expression,0.12335934041342039,0.0,0.0,41,0.0005433387208996203,18
ENSG00000081277,PKP1,Gene Expression,0.12276541488962997,0.0,0.0,2702,0.169504542942518,293
ENSG00000174791,RIN1,Gene Expression,0.12225174835266052,0.0,0.0,30,0.0004621966109954342,26
ENSG00000121594,CD80,Gene Expression,0.1206700215788158,0.0,0.0,5,0.00010532057175172584,4
ENSG00000170190,SLC16A5,Gene Expression,0.11989708335417595,0.0,0.0,22,0.0002472763544737605,18
ENSG00000144810,COL8A1,Gene Expression,0.11955922658247164,0.0,0.0,3,0.00024867151440684254,3
ENSG00000076382,SPAG5,Gene Expression,0.11749671803705979,0.0,0.0,16,0.00018546030160679477,16
ENSG00000189058,APOD,Gene Expression,0.11701261388724535,0.0,0.0,631,0.26851113067733645,296
ENSG00000164934,DCAF13,Gene Expression,0.11682953630290749,0.0,0.0,21,0.00022902474779605856,21
ENSG00000150593,PDCD4,Gene Expression,0.11502929765008425,0.0,0.0,415,0.04493852032272641,168
ENSG00000143631,FLG,Gene Expression,0.11417603308525025,0.0,0.0,1542,0.06685270823860542,152
ENSG00000189001,SBSN,Gene Expression,0.1135098264391998,0.0,0.0,3589,0.20358025104849642,286
ENSG00000124496,TRERF1,Gene Expression,0.11254863659571111,0.0,0.0,34,0.00037085364431912126,24
ENSG00000170484,KRT74,Gene Expression,0.11194827849598504,0.0,0.0,353,0.05436615193828929,78
ENSG00000104044,OCA2,Gene Expression,0.11190335132301152,0.0,0.0,37,0.00060842319109683,31
ENSG00000088726,TMEM40,Gene Expression,0.11168574407507306,0.0,0.0,260,0.007449338027199713,100
ENSG00000174951,FUT1,Gene Expression,0.11140176721453558,0.0,0.0,29,0.00034951616028979074,25
ENSG00000144045,DQX1,Gene Expression,0.11105641934913385,0.0,0.0,10,8.471274974229604e-05,8
ENSG00000124787,RPP40,Gene Expression,0.11046616134199712,0.0,0.0,28,0.0003300677932622884,22
ENSG00000135480,KRT7,Gene Expression,0.10888126876574791,0.0,0.0,132,0.03746270661681328,55
ENSG00000130701,RBBP8NL,Gene Expression,0.10833733942370423,0.0,0.0,15,0.00015698307698656363,14
ENSG00000197841,ZNF181,Gene Expression,0.10799201380882675,0.0,0.0,14,0.00023113306079900977,13
ENSG00000168675,LDLRAD4,Gene Expression,0.10614797714365089,0.0,0.0,36,0.007406124099965336,30
ENSG00000167656,LY6D,Gene Expression,0.10610666836645063,0.0,0.0,2553,0.17140055113173774,244
ENSG00000198874,TYW1,Gene Expression,0.10597821267427508,0.0,0.0,5,4.650518090909281e-05,5
ENSG00000127334,DYRK2,Gene Expression,0.10513454587403037,0.0,0.0,58,0.001980962348617679,42
ENSG00000074370,ATP2A3,Gene Expression,0.10408774615729854,0.0,0.0,56,0.010078481922454465,44
ENSG00000173068,BNC2,Gene Expression,0.10345643386521852,0.0,0.0,44,0.0015100046026838853,29
ENSG00000125571,IL37,Gene Expression,0.1029292449706837,0.0,0.0,22,0.0003784086150858562,18
ENSG00000050730,TNIP3,Gene Expression,0.10267006775378791,0.0,0.0,38,0.0006412982242087036,23
ENSG00000188015,S100A3,Gene Expression,0.10210248962331991,0.0,0.0,263,0.08300852317120287,118
ENSG00000184330,S100A7A,Gene Expression,0.10181842515058614,0.0,0.0,1689,0.1137514581530439,213
ENSG00000096696,DSP,Gene Expression,0.10039288971616307,0.0,0.0,3953,0.2770775670417603,385
ENSG00000124116,WFDC3,Gene Expression,0.10015717186837649,0.0,0.0,18,0.0014967071461330665,10
ENSG00000139193,CD27,Gene Expression,0.1001305792111731,0.0,0.0,11,0.00038592671775180816,9
ENSG00000079337,RAPGEF3,Gene Expression,0.09967550876492366,0.0,0.0,26,0.007267141234811779,24
ENSG00000101412,E2F1,Gene Expression,0.098297527919803,0.0,0.0,20,0.00029059363559782124,19
ENSG00000172551,MUCL1,Gene Expression,0.09824377427616172,0.0,0.0,232,0.06977640305309293,96
ENSG00000065618,COL17A1,Gene Expression,0.09744161566153055,0.0,0.0,2034,0.09834226611683144,220
ENSG00000099800,TIMM13,Gene Expression,0.09692316362857824,0.0,0.0,327,0.013241021229218995,124
ENSG00000146674,IGFBP3,Gene Expression,0.09473245651754708,0.0,0.0,2654,0.16067446343639388,266
ENSG00000211895,IGHA1,Gene Expression,0.09473075658843766,0.0,0.0,54,0.003978024980800739,16
ENSG00000070808,CAMK2A,Gene Expression,0.09424169038665632,0.0,0.0,7,6.152240714473593e-05,7
ENSG00000198821,CD247,Gene Expression,0.09421513420221041,0.0,0.0,4,9.441062059162194e-05,4
ENSG00000161513,FDXR,Gene Expression,0.09416996578386985,0.0,0.0,48,0.0007766814131224503,35
ENSG00000112812,PRSS16,Gene Expression,0.09358875655847218,0.0,0.0,8,8.4554389372874e-05,8
ENSG00000171160,MORN4,Gene Expression,0.09316929723451287,0.0,0.0,11,0.00010698961402968165,11
ENSG00000101888,NXT2,Gene Expression,0.09293426039653475,0.0,0.0,25,0.00029010316294372985,23
ENSG00000204179,PTPN20,Gene Expression,0.09202796565914544,0.0,0.0,15,0.00014377579462381386,13
ENSG00000100162,CENPM,Gene Expression,0.09170342636350273,0.0,0.0,20,0.00024841152476064594,17
ENSG00000124279,FASTKD3,Gene Expression,0.09161493823540433,0.0,0.0,40,0.001387473988906456,34
ENSG00000104356,POP1,Gene Expression,0.0909691513902437,0.0,0.0,20,0.00037890089712587076,18
ENSG00000113140,SPARC,Gene Expression,0.09062785644495655,0.0,0.0,1336,0.5502842615998748,495
ENSG00000168542,COL3A1,Gene Expression,0.09034925669387639,0.0,0.0,1870,0.7441943374902392,573
ENSG00000011465,DCN,Gene Expression,0.09013531417660935,0.0,0.0,1741,1.0550839328251944,649
ENSG00000143443,C1orf56,Gene Expression,0.08992736482279307,0.0,0.0,6,6.505543754177242e-05,5
ENSG00000140379,BCL2A1,Gene Expression,0.08937416271644748,0.0,0.0,9,0.00011326463860933262,7
ENSG00000101335,MYL9,Gene Expression,0.08927163282707512,0.0,0.0,327,0.09561605257262232,170
ENSG00000152642,GPD1L,Gene Expression,0.08900887060586045,0.0,0.0,43,0.0010071300377911855,33
ENSG00000143412,ANXA9,Gene Expression,0.08887158359583665,0.0,0.0,42,0.0006425147097631837,23
ENSG00000186493,C5orf38,Gene Expression,0.08886064745463448,0.0,0.0,15,0.00015800675665056895,11
ENSG00000135476,ESPL1,Gene Expression,0.08873678938494182,0.0,0.0,12,0.00011388857263247962,10
ENSG00000211896,IGHG1,Gene Expression,0.08863280505857907,0.0,0.0,17,0.008036698250199493,12
ENSG00000107872,FBXL15,Gene Expression,0.08798948541150127,0.0,0.0,45,0.0016359058453949424,39
ENSG00000169760,NLGN1,Gene Expression,0.0878555418085422,0.0,0.0,2,3.793735968777249e-05,2
ENSG00000110436,SLC1A2,Gene Expression,0.08766610745822889,0.0,0.0,2,1.9839306189365648e-05,2
ENSG00000180801,ARSJ,Gene Expression,0.08737802810739571,0.0,0.0,2,8.712474473601749e-05,2
ENSG00000261594,TPBGL,Gene Expression,0.08737615238970178,0.0,0.0,2,2.7191226112468546e-05,2
ENSG00000263002,ZNF234,Gene Expression,0.08663206648114014,0.0,0.0,9,0.00037330852028679817,8
ENSG00000196754,S100A2,Gene Expression,0.0865355216646489,0.0,0.0,2669,0.15280300939567618,262
ENSG00000105173,CCNE1,Gene Expression,0.08644306281681774,0.0,0.0,20,0.00039695294347101264,17
ENSG00000156509,FBXO43,Gene Expression,0.08634722981329691,0.0,0.0,2,2.902917922473604e-05,2
ENSG00000124256,ZBP1,Gene Expression,0.08627116855258889,0.0,0.0,4,5.0434488367767896e-05,4
ENSG00000211838,TRAJ52,Gene Expression,0.08572945509348451,0.0,0.0,2,1.5197081684057593e-05,2
ENSG00000221855,TAS2R41,Gene Expression,0.08538144851476369,0.0,0.0,2,1.839205271560938e-05,2
ENSG00000174939,ASPHD1,Gene Expression,0.0853443630827229,0.0,0.0,2,1.9735538470372498e-05,2
ENSG00000135346,CGA,Gene Expression,0.085091090684397,0.0,0.0,3,6.066475096170509e-05,2
ENSG00000104490,NCALD,Gene Expression,0.08500009089566078,0.0,0.0,48,0.007048358840493005,29
ENSG00000103490,PYCARD,Gene Expression,0.0846863629479412,0.0,0.0,422,0.01869197781566891,142
ENSG00000182585,EPGN,Gene Expression,0.0842526279179544,0.0,0.0,15,0.00017137739829442187,13
ENSG00000164610,RP9,Gene Expression,0.08414243852162422,0.0,0.0,29,0.0007150718086306424,27
ENSG00000197106,SLC6A17,Gene Expression,0.08406893075590303,0.0,0.0,30,0.00043549322935741854,25
ENSG00000123999,INHA,Gene Expression,0.08402993677420016,0.0,0.0,2,1.9338759261893446e-05,2
ENSG00000204175,GPRIN2,Gene Expression,0.08391048139654604,0.0,0.0,60,0.0009205741484738387,31
ENSG00000106211,HSPB1,Gene Expression,0.08373228168748499,0.0,0.0,4122,0.32253592617031923,383
ENSG00000164107,HAND2,Gene Expression,0.08363357863577255,0.0,0.0,2,0.000830349958552261,2
ENSG00000115363,EVA1A,Gene Expression,0.08346576939282789,0.0,0.0,4,0.0001120097619435826,4
ENSG00000161798,AQP5,Gene Expression,0.08289779677794526,0.0,0.0,162,0.03095918025714932,57
ENSG00000141527,CARD14,Gene Expression,0.0828172526503492,0.0,0.0,90,0.0021580614214251515,57
ENSG00000128965,CHAC1,Gene Expression,0.0827520086292095,0.0,0.0,23,0.0002431015700429689,9
ENSG00000185269,NOTUM,Gene Expression,0.0823566695821377,0.0,0.0,5,0.0005143034230949104,5
ENSG00000169258,GPRIN1,Gene Expression,0.08216194682723019,0.0,0.0,22,0.0002748250961942701,18
ENSG00000105427,CNFN,Gene Expression,0.08207750402637566,0.0,0.0,2026,0.13071768838602507,244
ENSG00000203782,LOR,Gene Expression,0.08204991800736318,0.0,0.0,1656,0.11232308187975783,206
ENSG00000128298,BAIAP2L2,Gene Expression,0.08187580402297498,0.0,0.0,7,0.0002701196446324995,7
ENSG00000148219,ASTN2,Gene Expression,0.08147873024647966,0.0,0.0,2,3.3625055186501416e-05,2
ENSG00000139547,RDH16,Gene Expression,0.08136500941711569,0.0,0.0,19,0.00021096786184740462,14
ENSG00000169989,TIGD4,Gene Expression,0.08088502266317188,0.0,0.0,6,7.160320849338289e-05,5
ENSG00000115844,DLX2,Gene Expression,0.08080741790919056,0.0,0.0,7,6.56711987913361e-05,6
ENSG00000115290,GRB14,Gene Expression,0.08079043702560104,0.0,0.0,3,0.00011098889134880186,3
ENSG00000205186,FABP9,Gene Expression,0.08072287244703734,0.0,0.0,179,0.04970315363322827,46
ENSG00000166509,CLEC3A,Gene Expression,0.08069135393488538,0.0,0.0,9,9.964529268158604e-05,9
ENSG00000112039,FANCE,Gene Expression,0.08049113834271246,0.0,0.0,36,0.000511669354469939,28
ENSG00000178372,CALML5,Gene Expression,0.08032765230228928,0.0,0.0,1895,0.10372583054237412,217
ENSG00000198734,F5,Gene Expression,0.08028338149022356,0.0,0.0,4,0.00012060916651398275,4
ENSG00000189334,S100A14,Gene Expression,0.08027374494100714,0.0,0.0,2228,0.13149430840339474,235
ENSG00000172346,CSDC2,Gene Expression,0.08016164934565638,0.0,0.0,6,0.0007438371701501568,4
ENSG00000120658,ENOX1,Gene Expression,0.08007944096088646,0.0,0.0,2,0.00022193270374017824,2
ENSG00000267795,SMIM22,Gene Expression,0.07996543228748132,0.0,0.0,3,8.4351440349809e-05,3
